,index,carat,cut,color,clarity,depth,table,price,x,y,z
317,529,0.9,Premium,I,SI2,62.2,59.0,2826,6.11,6.07,3.79
318,530,0.7,Premium,E,VS1,62.2,58.0,2826,5.66,5.6,3.5
319,532,0.7,Premium,E,VS1,59.4,61.0,2826,5.78,5.74,3.42
320,534,0.78,Premium,F,SI1,60.8,60.0,2826,5.97,5.94,3.62
321,535,0.96,Ideal,F,I1,60.7,55.0,2826,6.41,6.37,3.88
322,538,0.79,Premium,H,VVS2,62.6,58.0,2827,5.96,5.9,3.71
323,539,0.7,Ideal,H,VVS1,61.6,57.0,2827,5.69,5.74,3.52
324,540,0.7,Ideal,H,VVS1,62.3,55.0,2827,5.66,5.7,3.54
325,541,0.7,Ideal,D,SI2,60.6,57.0,2828,5.74,5.77,3.49
326,542,1.01,Premium,H,SI2,61.6,61.0,2828,6.39,6.31,3.91
327,543,0.72,Premium,F,VS1,62.2,58.0,2829,5.75,5.7,3.56
328,545,0.59,Ideal,E,VVS1,62.0,56.0,2829,5.36,5.38,3.33
329,546,0.72,Ideal,F,VS1,61.7,57.0,2829,5.77,5.74,3.55
330,547,0.75,Premium,E,SI2,61.9,57.0,2829,5.88,5.82,3.62
331,548,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
332,551,0.97,Ideal,F,I1,60.7,56.0,2830,6.41,6.43,3.9
333,552,0.53,Ideal,F,VVS1,60.9,57.0,2830,5.23,5.29,3.19
334,553,0.53,Ideal,F,VVS1,61.8,57.0,2830,5.16,5.19,3.2
335,554,0.8,Ideal,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
