MS_Zoning;Lot_Frontage;Lot_Area;Street;Lot_Shape;Utilities;Lot_Config;Neighborhood;House_Style;Overall_Qual;Overall_Cond;Year_Built;Year_Remod_Add;Exterior_1st;Exterior_2nd;Heating;Heating_QC;Central_Air;Electrical;First_Flr_SF;Second_Flr_SF;Low_Qual_Fin_SF;Gr_Liv_Area;Bsmt_Full_Bath;Bsmt_Half_Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen_AbvGr;Kitchen_Qual;TotRms_AbvGrd;Fireplaces;Fireplace_Qu;Garage_Type;Garage_Cars;Garage_Area;Garage_Qual;Garage_Cond;Paved_Drive;Mo_Sold;Year_Sold;Sale_Price
Residential_Medium_Density;50;6000;Pave;Regular;AllPub;Corner;Brookside;One_and_Half_Fin;Above_Average;Good;1929;1950;WdShing;Wd Shng;GasA;Typical;Y;SBrkr;950;208;0;1158;0;0;1;0;3;1;Typical;5;1;Good;BuiltIn;1;208;Typical;Typical;Paved;7;2008;120000
Residential_Low_Density;93;10481;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;One_Story;Very_Good;Average;2006;2007;CemntBd;CmentBd;GasA;Excellent;Y;SBrkr;2140;0;0;2140;0;0;2;1;3;1;Good;8;0;No_Fireplace;Attchd;3;894;Typical;Typical;Paved;6;2007;360000
Residential_Low_Density;81;15593;Pave;Regular;AllPub;Corner;Clear_Creek;One_and_Half_Fin;Good;Below_Average;1953;1953;BrkFace;AsbShng;GasW;Typical;Y;SBrkr;1304;983;0;2287;0;0;2;0;3;1;Typical;7;1;Typical;Attchd;2;667;Typical;Typical;Paved;7;2006;225000
Residential_Medium_Density;51;6120;Pave;Regular;AllPub;Inside;Brookside;One_and_Half_Fin;Average;Above_Average;1938;1950;Wd Sdng;Wd Sdng;GasA;Typical;Y;FuseA;994;588;0;1582;0;0;2;0;3;1;Typical;6;1;Good;Detchd;1;250;Fair;Typical;Paved;2;2009;150000
Residential_Medium_Density;60;6155;Pave;Slightly_Irregular;AllPub;FR3;Brookside;Two_Story;Above_Average;Very_Good;1920;1999;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;751;611;0;1362;0;0;2;0;3;1;Typical;6;0;No_Fireplace;Detchd;2;502;Typical;Fair;Paved;6;2008;128000
Residential_Low_Density;70;10519;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Very_Good;1955;1999;MetalSd;MetalSd;GasA;Good;Y;SBrkr;1057;0;0;1057;0;1;1;0;3;1;Good;6;0;No_Fireplace;Attchd;1;288;Typical;Typical;Paved;3;2006;137000
Residential_Low_Density;96;13132;Pave;Regular;AllPub;Inside;Crawford;Two_Story;Average;Average;1914;1950;Wd Sdng;Wd Sdng;GasA;Good;Y;FuseF;892;892;0;1784;0;0;1;1;4;1;Typical;9;0;No_Fireplace;Detchd;1;180;Fair;Fair;Dirt_Gravel;7;2006;138887
Residential_Low_Density;85;10200;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Above_Average;Average;1974;1974;Plywood;Plywood;GasA;Typical;Y;SBrkr;1434;0;0;1434;1;0;2;0;4;1;Typical;7;1;Good;Attchd;2;528;Typical;Typical;Paved;6;2009;157000
Residential_Low_Density;0;9981;Pave;Slightly_Irregular;AllPub;Corner;Sawyer;One_Story;Average;Average;1967;1967;MetalSd;MetalSd;GasA;Good;Y;SBrkr;1073;0;0;1073;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;270;Typical;Typical;Paved;3;2008;120000
Residential_Low_Density;0;3696;Pave;Regular;AllPub;Inside;Stone_Brook;One_Story;Very_Good;Average;1986;1986;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;1088;0;0;1088;0;0;1;1;2;1;Good;5;0;No_Fireplace;Attchd;2;461;Typical;Typical;Paved;10;2007;170000
Residential_Low_Density;69;7590;Pave;Regular;AllPub;Inside;North_Ames;Two_Story;Above_Average;Average;1966;1966;VinylSd;VinylSd;GasA;Typical;Y;SBrkr;660;688;0;1348;0;0;1;1;3;1;Typical;6;1;Fair;Attchd;2;453;Typical;Typical;Paved;7;2006;155000
Residential_Medium_Density;24;2368;Pave;Regular;AllPub;Inside;Briardale;Two_Story;Average;Above_Average;1970;1970;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;765;600;0;1365;0;0;1;1;3;1;Typical;7;0;No_Fireplace;Attchd;2;440;Typical;Typical;Paved;5;2009;125000
Residential_Medium_Density;50;7030;Pave;Regular;AllPub;Inside;Iowa_DOT_and_Rail_Road;One_Story;Below_Average;Above_Average;1925;1950;MetalSd;MetalSd;GasA;Good;Y;SBrkr;641;0;0;641;0;0;1;0;2;1;Fair;4;0;No_Fireplace;Detchd;1;272;Typical;Typical;Dirt_Gravel;3;2006;85000
Residential_Low_Density;64;7488;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;One_Story;Good;Average;2005;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1208;0;0;1208;0;0;2;0;2;1;Good;6;0;No_Fireplace;Attchd;2;632;Typical;Typical;Paved;2;2006;183600
Residential_Low_Density;75;9525;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Good;1954;1998;WdShing;Wd Shng;GasA;Typical;Y;SBrkr;1172;0;0;1172;1;0;1;0;3;1;Typical;5;0;No_Fireplace;Attchd;1;366;Typical;Typical;Paved;6;2010;128000
Residential_Low_Density;60;6931;Pave;Regular;AllPub;Inside;Edwards;Two_Story;Good;Average;2003;2004;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;760;896;0;1656;0;0;2;1;3;1;Good;7;1;Good;BuiltIn;2;397;Typical;Typical;Paved;7;2008;165400
Residential_Low_Density;67;12774;Pave;Regular;AllPub;FR2;Sawyer_West;Two_Story;Good;Average;2003;2004;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;835;828;0;1663;0;0;2;1;3;1;Good;8;0;No_Fireplace;Attchd;2;478;Typical;Typical;Paved;7;2008;192500
Residential_Low_Density;70;7000;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Below_Average;1961;1961;BrkFace;BrkFace;GasA;Typical;Y;SBrkr;1150;0;0;1150;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;288;Typical;Typical;Paved;7;2006;146000
Residential_Medium_Density;60;6756;Pave;Regular;AllPub;Inside;Old_Town;One_Story;Average;Above_Average;1910;1950;MetalSd;MetalSd;GasA;Typical;N;FuseA;899;0;0;899;0;0;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;1;200;Fair;Typical;Partial_Pavement;9;2008;78000
Residential_Low_Density;43;3010;Pave;Regular;AllPub;Inside;Bloomington_Heights;One_Story;Good;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1248;0;0;1248;0;0;2;0;2;1;Good;5;0;No_Fireplace;Attchd;2;438;Typical;Typical;Paved;3;2006;167240
Residential_Low_Density;75;9675;Pave;Regular;AllPub;Corner;College_Creek;One_Story;Average;Above_Average;1975;1975;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;879;0;0;879;0;0;1;0;3;1;Typical;5;0;No_Fireplace;Attchd;2;440;Typical;Typical;Paved;9;2007;120000
Residential_Low_Density;85;11475;Pave;Regular;AllPub;Inside;Northwest_Ames;Two_Story;Above_Average;Above_Average;1975;1975;VinylSd;VinylSd;GasA;Typical;Y;SBrkr;811;741;0;1552;1;0;2;1;3;1;Typical;6;1;Typical;Attchd;2;434;Typical;Typical;Paved;2;2006;179900
Floating_Village_Residential;75;9375;Pave;Regular;AllPub;Inside;Somerset;Two_Story;Very_Good;Average;2003;2004;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1053;939;0;1992;0;0;2;1;3;1;Good;9;1;Good;Attchd;2;648;Typical;Typical;Paved;8;2008;250000
Residential_Medium_Density;50;5925;Pave;Regular;AllPub;Inside;Old_Town;One_and_Half_Fin;Below_Average;Above_Average;1900;1950;MetalSd;MetalSd;GasA;Good;N;SBrkr;761;380;0;1141;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Detchd;1;252;Fair;Fair;Paved;5;2007;85000
Residential_Low_Density;0;7980;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;One_Story;Above_Average;Good;1992;2007;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;1187;0;0;1187;1;0;2;0;3;1;Typical;6;0;No_Fireplace;Attchd;2;420;Typical;Typical;Paved;3;2010;185000
Residential_Low_Density;65;10237;Pave;Regular;AllPub;Inside;Gilbert;Two_Story;Above_Average;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;728;728;0;1456;0;0;2;1;3;1;Good;8;1;Good;Attchd;2;390;Typical;Typical;Paved;2;2006;170440
Residential_Low_Density;85;10625;Pave;Regular;AllPub;Inside;Northwest_Ames;SFoyer;Good;Above_Average;1974;1974;Plywood;Plywood;GasA;Typical;Y;SBrkr;1173;0;0;1173;1;0;2;0;3;1;Good;6;2;Typical;Attchd;2;528;Typical;Typical;Paved;1;2010;170000
Residential_Low_Density;65;8125;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Good;1959;1959;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;864;0;0;864;0;0;1;0;3;1;Typical;5;0;No_Fireplace;Detchd;1;308;Typical;Typical;Paved;9;2009;118000
Residential_Low_Density;60;7200;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Good;1950;1950;Wd Sdng;Wd Sdng;GasA;Typical;Y;FuseF;1040;0;0;1040;0;0;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;2;625;Typical;Typical;Paved;6;2006;109500
Residential_Low_Density;92;9920;Pave;Slightly_Irregular;AllPub;CulDSac;Northridge;Two_Story;Good;Average;1996;1997;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1127;886;0;2013;1;0;2;1;3;1;Typical;8;1;Typical;Attchd;2;455;Typical;Typical;Paved;6;2007;269790
Residential_Low_Density;41;12460;Pave;Slightly_Irregular;AllPub;FR2;Gilbert;Two_Story;Good;Average;1999;2000;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1037;1285;0;2322;0;0;2;1;4;1;Typical;8;1;Typical;BuiltIn;2;400;Typical;Typical;Paved;5;2008;225000
Residential_Low_Density;60;10836;Pave;Regular;AllPub;Inside;Old_Town;One_and_Half_Fin;Average;Average;1922;1950;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;1254;182;0;1436;0;1;1;0;3;1;Typical;7;1;Good;Detchd;4;1488;Fair;Typical;Dirt_Gravel;6;2008;139000
Residential_Low_Density;0;13517;Pave;Slightly_Irregular;AllPub;CulDSac;Sawyer;Two_Story;Above_Average;Very_Good;1976;2005;HdBoard;Plywood;GasA;Excellent;Y;SBrkr;725;754;0;1479;0;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;475;Typical;Typical;Paved;3;2010;130500
Residential_Low_Density;84;10084;Pave;Regular;AllPub;Inside;College_Creek;One_Story;Good;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1552;0;0;1552;0;0;2;0;3;1;Good;7;0;No_Fireplace;Attchd;3;782;Typical;Typical;Paved;7;2006;212900
Residential_Low_Density;102;9373;Pave;Slightly_Irregular;AllPub;Corner;North_Ames;One_Story;Average;Above_Average;1953;1953;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;1152;0;0;1152;0;0;1;1;3;1;Typical;6;0;No_Fireplace;Detchd;2;636;Typical;Typical;Paved;5;2008;137500
Residential_Low_Density;78;9316;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;Two_Story;Good;Average;2005;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;784;812;0;1596;0;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;610;Typical;Typical;Paved;6;2006;181000
Residential_Low_Density;80;9600;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Average;1951;1951;HdBoard;HdBoard;GasA;Excellent;Y;FuseA;1216;0;0;1216;1;0;1;0;3;1;Typical;7;0;No_Fireplace;Attchd;1;280;Typical;Typical;Paved;5;2006;135000
Floating_Village_Residential;24;2117;Pave;Regular;AllPub;Inside;Somerset;Two_Story;Above_Average;Average;2000;2000;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;769;804;0;1573;0;0;2;1;3;1;Good;4;0;No_Fireplace;Detchd;2;440;Typical;Typical;Paved;9;2007;177000
Residential_Low_Density;90;11250;Pave;Slightly_Irregular;AllPub;Corner;College_Creek;Two_Story;Good;Average;1998;1998;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1070;869;0;1939;0;1;2;1;3;1;Good;8;1;Typical;Attchd;3;555;Typical;Typical;Paved;5;2006;227000
Residential_Low_Density;75;9986;Pave;Regular;AllPub;Inside;Somerset;One_Story;Very_Good;Average;2006;2007;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1795;0;0;1795;0;0;2;0;2;1;Good;7;1;Good;Attchd;3;895;Typical;Typical;Paved;2;2007;147000
Residential_Low_Density;79;14463;Pave;Slightly_Irregular;AllPub;Corner;Timberland;One_Story;Excellent;Average;2008;2008;CemntBd;CmentBd;GasA;Excellent;Y;SBrkr;1641;0;0;1641;1;0;2;0;3;1;Excellent;7;0;No_Fireplace;Attchd;3;885;Typical;Typical;Paved;1;2009;316500
Residential_Low_Density;57;21872;Pave;Moderately_Irregular;AllPub;FR2;Gilbert;Two_Story;Good;Average;1996;1997;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;729;717;0;1446;0;1;2;1;3;1;Typical;6;1;Typical;Attchd;2;406;Typical;Typical;Paved;8;2008;175000
Residential_Low_Density;76;9291;Pave;Slightly_Irregular;AllPub;Corner;Sawyer_West;Two_Story;Above_Average;Average;1993;1993;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;832;878;0;1710;0;0;2;1;3;1;Good;7;0;No_Fireplace;Attchd;2;506;Typical;Typical;Paved;6;2008;187000
Residential_Low_Density;115;16905;Pave;Regular;AllPub;Inside;Timberland;One_Story;Average;Above_Average;1959;1959;VinylSd;VinylSd;GasA;Good;Y;SBrkr;1328;0;0;1328;0;1;1;1;2;1;Typical;5;2;Good;Attchd;1;308;Typical;Typical;Partial_Pavement;7;2007;170000
Residential_Low_Density;80;10791;Pave;Regular;AllPub;Inside;Northwest_Ames;Two_Story;Above_Average;Average;1993;1993;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1280;1215;0;2495;1;0;2;1;4;1;Good;9;1;Typical;Attchd;2;660;Typical;Typical;Paved;3;2010;243500
Residential_Low_Density;0;12728;Pave;Regular;AllPub;Inside;College_Creek;Two_Story;Very_Good;Average;2001;2001;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1531;908;0;2439;1;0;2;1;4;1;Good;7;1;Typical;Attchd;2;560;Typical;Typical;Paved;1;2007;275000
Residential_Low_Density;60;10134;Pave;Regular;AllPub;Inside;Old_Town;One_and_Half_Fin;Average;Above_Average;1940;1950;MetalSd;MetalSd;GasA;Good;Y;FuseA;735;299;0;1034;0;0;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;1;240;Typical;Typical;Paved;7;2007;109000
Residential_Low_Density;0;8755;Pave;Slightly_Irregular;AllPub;FR2;Gilbert;Two_Story;Good;Average;1999;1999;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1022;1038;0;2060;1;0;2;1;3;1;Good;8;1;Typical;BuiltIn;2;390;Typical;Typical;Paved;6;2009;214000
Residential_Medium_Density;57;8094;Pave;Regular;AllPub;Inside;Old_Town;Two_Story;Above_Average;Above_Average;1915;1950;MetalSd;MetalSd;GasA;Good;Y;FuseA;1048;720;0;1768;0;0;2;0;3;1;Typical;8;0;No_Fireplace;Detchd;2;576;Fair;Fair;Paved;6;2009;155000
Residential_Low_Density;64;8320;Pave;Regular;AllPub;Inside;College_Creek;Two_Story;Good;Average;2004;2004;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;770;812;0;1582;0;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;520;Typical;Typical;Paved;9;2008;185900
Residential_Low_Density;70;8400;Pave;Regular;AllPub;Corner;North_Ames;One_Story;Average;Average;1955;1955;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;925;0;0;925;1;0;1;0;3;1;Typical;5;2;Typical;Attchd;1;390;Typical;Typical;Paved;3;2007;116900
Residential_Low_Density;38;7840;Pave;Slightly_Irregular;AllPub;CulDSac;Edwards;SFoyer;Above_Average;Average;1975;1975;Plywood;Wd Shng;GasA;Typical;Y;SBrkr;1012;0;0;1012;0;2;2;0;4;0;Typical;4;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Paved;10;2006;127500
Residential_Low_Density;60;7024;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Average;2005;2006;VinylSd;VinylSd;GasA;Good;Y;SBrkr;1090;0;0;1090;1;0;1;1;2;1;Typical;5;0;No_Fireplace;Attchd;2;450;Typical;Typical;Paved;6;2007;157000
Residential_Low_Density;63;7875;Pave;Regular;AllPub;Inside;Gilbert;One_Story;Good;Average;1995;1996;HdBoard;HdBoard;GasA;Good;Y;SBrkr;1253;0;0;1253;0;0;2;0;3;1;Typical;6;1;Typical;Attchd;2;402;Typical;Typical;Paved;6;2007;176000
Residential_Low_Density;63;7875;Pave;Regular;AllPub;Inside;Gilbert;Two_Story;Good;Average;2003;2003;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;807;702;0;1509;0;0;2;1;3;1;Good;8;1;Good;Attchd;2;393;Typical;Typical;Paved;7;2006;180000
Residential_Low_Density;61;7328;Pave;Regular;AllPub;Inside;Sawyer_West;One_Story;Good;Average;2008;2009;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1450;0;0;1450;0;0;2;0;2;1;Good;6;0;No_Fireplace;Attchd;3;788;Typical;Typical;Paved;2;2009;224243
Residential_Low_Density;0;11616;Pave;Regular;AllPub;Inside;Sawyer;One_Story;Average;Average;1962;1962;Wd Sdng;Wd Sdng;GasA;Typical;Y;SBrkr;1092;0;0;1092;0;1;1;0;3;1;Typical;6;1;Poor;Attchd;1;288;Typical;Typical;Paved;9;2009;139000
Residential_Medium_Density;21;1680;Pave;Regular;AllPub;Inside;Briardale;Two_Story;Above_Average;Average;1972;1972;HdBoard;HdBoard;GasA;Good;Y;SBrkr;525;567;0;1092;0;0;1;1;3;1;Typical;6;0;No_Fireplace;Detchd;1;264;Typical;Typical;Paved;10;2006;108000
Residential_Medium_Density;50;5925;Pave;Regular;AllPub;Inside;Old_Town;One_Story;Below_Average;Good;1937;2000;Stucco;Stucco;GasA;Typical;Y;SBrkr;1131;0;0;1131;0;0;1;0;2;1;Typical;7;0;No_Fireplace;Detchd;2;672;Typical;Typical;Paved;3;2007;89471
Residential_Low_Density;75;8604;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;SFoyer;Average;Good;1978;1978;Plywood;Plywood;GasA;Good;Y;SBrkr;941;0;0;941;1;0;1;0;2;1;Good;4;0;No_Fireplace;Attchd;2;564;Typical;Typical;Paved;11;2009;145000
Residential_Low_Density;0;10600;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;SLvl;Above_Average;Average;1964;1964;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1131;644;0;1775;0;0;2;0;3;1;Typical;8;0;No_Fireplace;Attchd;2;480;Typical;Typical;Paved;5;2010;136300
Residential_Low_Density;60;9000;Pave;Regular;AllPub;FR2;North_Ames;One_Story;Below_Average;Good;1971;2006;VinylSd;VinylSd;GasA;Good;Y;SBrkr;864;0;0;864;0;0;1;0;3;1;Typical;5;0;No_Fireplace;Detchd;2;576;Typical;Typical;Paved;7;2009;130000
Residential_Low_Density;80;9600;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Above_Average;Average;1953;1953;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1644;0;0;1644;1;0;1;0;3;1;Typical;7;2;Good;Attchd;2;418;Typical;Typical;Paved;10;2009;167000
Residential_Medium_Density;60;10320;Pave;Regular;AllPub;Inside;Iowa_DOT_and_Rail_Road;Two_Story;Fair;Fair;1915;1950;AsphShn;AsphShn;GasA;Excellent;N;FuseF;808;536;0;1344;0;0;2;0;3;2;Typical;8;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Dirt_Gravel;5;2008;82375
Residential_Low_Density;0;15676;Pave;Slightly_Irregular;AllPub;Inside;Veenker;One_Story;Very_Good;Very_Good;1980;1980;VinylSd;VinylSd;GasA;Good;Y;SBrkr;2014;0;0;2014;1;0;2;0;2;1;Good;6;2;Good;Attchd;3;864;Typical;Typical;Paved;4;2009;275000
Residential_Low_Density;0;11677;Pave;Slightly_Irregular;AllPub;Inside;Sawyer;One_Story;Average;Below_Average;1966;1966;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1040;0;0;1040;1;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;264;Typical;Typical;Paved;2;2007;123000
Floating_Village_Residential;0;7500;Pave;Regular;AllPub;Inside;Somerset;Two_Story;Good;Average;2000;2000;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;814;860;0;1674;1;0;2;1;3;1;Good;7;0;No_Fireplace;Attchd;2;663;Typical;Typical;Paved;1;2010;216000
Residential_Low_Density;135;12304;Pave;Irregular;AllPub;Corner;Northridge_Heights;One_Story;Good;Average;2005;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1367;0;0;1367;0;0;2;0;2;1;Good;6;1;Good;Attchd;2;484;Typical;Typical;Paved;6;2008;192000
Residential_Low_Density;70;8750;Pave;Regular;AllPub;Inside;College_Creek;Two_Story;Good;Average;1994;1995;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;933;975;0;1908;1;0;2;1;4;1;Good;8;1;Typical;Attchd;2;493;Typical;Typical;Paved;7;2008;210000
Residential_Low_Density;74;13830;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;Two_Story;Average;Average;1997;1998;VinylSd;VinylSd;GasA;Good;Y;SBrkr;928;701;0;1629;0;0;2;1;3;1;Typical;6;1;Typical;Attchd;2;482;Typical;Typical;Paved;3;2010;189900
Residential_Low_Density;70;12243;Pave;Slightly_Irregular;AllPub;Inside;Northwest_Ames;One_Story;Average;Above_Average;1971;1971;Plywood;Plywood;GasA;Good;Y;SBrkr;1484;0;0;1484;0;0;2;0;3;1;Typical;7;1;Typical;Attchd;2;487;Typical;Typical;Paved;2;2007;175000
Residential_Low_Density;96;13262;Pave;Slightly_Irregular;AllPub;Inside;Northridge_Heights;Two_Story;Very_Good;Average;2003;2004;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1105;1295;0;2400;0;0;3;1;4;1;Good;10;1;Good;BuiltIn;3;730;Typical;Typical;Paved;6;2009;290000
Residential_Low_Density;0;12227;Pave;Slightly_Irregular;AllPub;Corner;Northwest_Ames;Two_Story;Above_Average;Good;1977;1995;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1542;1330;0;2872;1;0;2;1;4;1;Typical;11;1;Typical;Attchd;2;619;Typical;Typical;Paved;7;2008;272000
Floating_Village_Residential;40;3606;Pave;Regular;AllPub;Inside;Somerset;One_Story;Good;Average;2006;2007;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1352;0;0;1352;1;0;2;0;2;1;Good;5;1;Good;Attchd;2;466;Typical;Typical;Paved;8;2007;194000
Residential_Low_Density;53;5362;Pave;Regular;AllPub;Corner;Crawford;One_and_Half_Fin;Average;Above_Average;1910;2003;Wd Sdng;Wd Shng;GasA;Excellent;Y;SBrkr;661;589;0;1250;0;0;2;0;3;1;Typical;8;1;Good;Detchd;2;552;Typical;Typical;Paved;11;2007;139000
